Seconds: 0.23 | IMU1 : EMG = 355 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.93 | GyY = 0.90 | GyZ = -1.56;
Seconds: 0.47 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.00 | GyX = 0.78 | GyY = 1.44 | GyZ = -1.25;
Seconds: 0.7 | IMU1 : EMG = 334 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.92 | GyY = 0.93 | GyZ = -1.28;
Seconds: 0.93 | IMU1 : EMG = 332 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.09 | GyX = 0.99 | GyY = 0.95 | GyZ = -1.13;
Seconds: 1.17 | IMU1 : EMG = 343 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.09 | GyX = 0.96 | GyY = 0.66 | GyZ = -1.48;
Seconds: 1.4 | IMU1 : EMG = 339 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.34 | GyX = 1.02 | GyY = 0.73 | GyZ = -1.30;
Seconds: 1.63 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.00 | GyX = 0.84 | GyY = 1.42 | GyZ = -1.08;
Seconds: 1.86 | IMU1 : EMG = 341 | AcX = -0.54 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.92 | GyY = 1.24 | GyZ = -1.34;
Seconds: 2.1 | IMU1 : EMG = 337 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.99 | GyY = 0.76 | GyZ = -1.59;
Seconds: 2.33 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.00 | GyX = 0.85 | GyY = 1.08 | GyZ = -0.99;
Seconds: 2.56 | IMU1 : EMG = 335 | AcX = -0.56 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.00 | GyX = 0.92 | GyY = 1.11 | GyZ = -1.40;
Seconds: 2.8 | IMU1 : EMG = 335 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.12 | Tmp = 77.34 | GyX = 0.85 | GyY = 1.34 | GyZ = -1.63;
Seconds: 3.03 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.81 | GyY = 0.53 | GyZ = -1.16;
Seconds: 3.26 | IMU1 : EMG = 338 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.82 | GyY = 1.15 | GyZ = -1.39;
Seconds: 3.5 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.00 | GyX = 0.90 | GyY = 0.82 | GyZ = -1.22;
Seconds: 3.73 | IMU1 : EMG = 286 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.26 | GyX = 0.93 | GyY = 1.13 | GyZ = -1.34;
Seconds: 3.96 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.00 | GyX = 0.81 | GyY = 0.93 | GyZ = -1.50;
Seconds: 4.19 | IMU1 : EMG = 336 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.09 | GyX = 0.90 | GyY = 1.01 | GyZ = -1.62;
Seconds: 4.43 | IMU1 : EMG = 341 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.26 | GyX = 1.02 | GyY = 1.02 | GyZ = -1.13;
Seconds: 4.66 | IMU1 : EMG = 339 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.00 | GyX = 1.04 | GyY = 0.95 | GyZ = -0.87;
Seconds: 4.89 | IMU1 : EMG = 335 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.85 | GyY = 1.04 | GyZ = -1.24;
Seconds: 5.13 | IMU1 : EMG = 337 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.99 | GyY = 1.13 | GyZ = -1.44;
Seconds: 5.36 | IMU1 : EMG = 340 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.96 | GyY = 0.96 | GyZ = -1.56;
Seconds: 5.59 | IMU1 : EMG = 342 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.17 | GyX = 0.84 | GyY = 1.02 | GyZ = -1.31;
Seconds: 5.83 | IMU1 : EMG = 344 | AcX = -0.55 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.09 | GyX = 0.96 | GyY = 0.95 | GyZ = -1.60;
Seconds: 6.06 | IMU1 : EMG = 341 | AcX = -0.56 | AcY = -0.82 | AcZ = 0.11 | Tmp = 77.09 | GyX = 0.90 | GyY = 0.89 | GyZ = -1.31;
Seconds: 6.29 | IMU1 : EMG = 336 | AcX = -0.55 | AcY = -0.83 | AcZ = 0.10 | Tmp = 77.17 | GyX = 0.89 | GyY = 0.87 | GyZ = -1.69;
Seconds: 6.52 | IMU1 : EMG = 332 | AcX = -0.55 | AcY = -0.81 | AcZ = 0.07 | Tmp = 77.26 | GyX = 1.25 | GyY = 0.90 | GyZ = -1.98;
